,Repository_name,Language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,.github,
31,app-store-server-library-java,Java
32,app-store-server-library-node,TypeScript
33,app-store-server-library-python,Python
34,app-store-server-library-swift,Swift
35,apple-llvm-infrastructure-tools,C++
36,apple_rules_lint,Starlark
37,ARKitScenes,Python
38,AudioUnit-Examples,Swift
39,AudioUnitSDK,C++
40,axlearn,Python
41,batch-processing-gateway,Java
42,ccs-caldavclientlibrary,HTML
43,ccs-caldavtester,Python
44,ccs-calendarserver,Python
45,ccs-pycalendar,Python
46,ccs-pykerberos,C
47,ccs-pyopendirectory,C++
48,ccs-pyosxframeworks,Python
49,ccs-pysecuretransport,Python
50,ccs-twistedextensions,Python
51,container,Swift
52,container-builder-shim,Go
53,containerization,Swift
54,coremltools,Python
55,corenet,Jupyter Notebook
56,cups,C
57,darwin-libplatform,C
58,darwin-libpthread,C
59,darwin-xnu,C
60,device-management,
61,dmel,Python
62,dmel-demo,HTML
63,dnikit,Python
64,eidas,Go
65,embedding-atlas,TypeScript
66,example-package-fisheryates,Swift
67,FHIRModels,Swift
68,foundationdb,C++
69,fstools,C
70,game-center-tools,Python
71,GCGC,Jupyter Notebook
72,homebrew-apple,Ruby
73,HomeKitADK,C
74,learning-compressible-subspaces,Python
75,learning-subspaces,Python
76,llvm-monorepo-root,
77,llvm-project-v5,C++
78,llvm-project-v5-split,C++
79,ml-4m,Python
80,ml-acn-embed,Python
81,ml-act,Python
82,ml-ademamix,Python
83,ml-afv,Python
84,ml-agm,Python
85,ml-aim,Python
86,ml-all-pairs,Python
87,ml-ane-transformers,Python
88,ml-aspanformer,Python
89,ml-aspera,Python
90,ml-aura,Python
91,ml-autofocusformer,Python
92,ml-autofocusformer-segmentation,Python
93,ml-batchquant,Python
94,ml-behavioral-testing-for-mt,
95,ml-bilevel-train-dist,Python
96,ml-bloop,Python
97,ml-calibration,Jupyter Notebook
98,ml-capsules-inverted-attention-routing,Python
99,ml-cifar-10-faster,Python
100,ml-code-switched-speech-translation,Python
101,ml-codeswitching-translations,
102,ml-collegial-ensembles,Python
103,ml-comotion,Python
104,ml-compress-and-compare,Python
105,ml-core,Python
106,ml-covid-mobility,R
107,ml-cread,Python
108,ml-cross-entropy,Python
109,ml-cubifyanything,Python
110,ml-cvnets,Python
111,ml-cvpr2019-swd,Python
112,ml-dab,Python
113,ml-data-parameters,Python
114,ml-dataset-decomposition,Python
115,ml-delphi,
116,ml-depth-pro,Python
117,ml-destseg,Python
118,ml-diffucoder,Python
119,ml-diffusion-alignment-gflownet,Python
120,ml-direct2.5,Python
121,ml-divide-or-conquer,Python
122,ml-dms-dataset,Python
123,ml-dprecs,Jupyter Notebook
124,ml-dr,Python
125,ml-duet,Python
126,ml-entity-deduction-arena,Python
127,ml-entropy-reconstruction,Python
128,ml-envmapnet,Python
129,ml-equivariant-neural-rendering,Jupyter Notebook
130,ml-facelit,Python
131,ml-famae,Python
132,ml-fastvit,Python
133,ml-fastvlm,Python
134,ml-fct,Python
135,ml-ferret,Python
136,ml-finerecon,Python
137,ml-flair,Jupyter Notebook
138,ml-flextok,Jupyter Notebook
139,ml-gaudi,
140,ml-gbc,Python
141,ml-gendered-translation,Ruby
142,ml-gie-bench,Python
143,ml-gmpi,Python
144,ml-gsm-symbolic,
145,ml-gsn,Python
146,ml-hd-gist,Python
147,ml-heart-rate-models,Python
148,ml-hierarchical-confusion-matrix,TypeScript
149,ml-hugs,Python
150,ml-hypercloning,Python
151,ml-hypersim,Python
152,ml-inrflow,Python
153,ml-interactive-data-augmentation,Svelte
154,ml-internal-llms-instruction-following,Python
155,ml-interspeech2022-phi_rtn,
156,ml-isqoe,Python
157,ml-jointnet,Python
158,ml-key-retrieval-code-tasks,Python
159,ml-keyframer,JavaScript
160,ml-kg-mt,Python
161,ml-kge,Python
162,ml-knowledge-conflicts,Python
163,ml-kpconvx,Python
164,ml-live-pose,
165,ml-llarp,Python
166,ml-lucid-datagen,Python
167,ml-mad-bench,Jupyter Notebook
168,ml-matrix3d,Python
169,ml-mcf,Python
170,ml-mdm,Python
171,ml-mgie,Python
172,ml-mia-bench,Jupyter Notebook
173,ml-MixupMP,Python
174,ml-mkqa,Python
175,ml-mobileclip,Python
176,ml-mobileone,Swift
177,ml-mofi,Python
178,ml-multiple-futures-prediction,Python
179,ml-mycelium,JavaScript
180,ml-ncg,Python
181,ml-negative-sampling,Python
182,ml-neilf,Python
183,ml-neilfpp,Python
184,ml-neuman,Python
185,ml-no-token-left-behind,Jupyter Notebook
186,ml-np-rasp,Python
187,ml-nvas3d,Python
