,Repository_name,Language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,bpftop,C
20,brutal,Python
21,cachemover,C++
22,CassJMeter,Java
23,chaosmonkey,Go
24,Cloud-Prize,
25,clove,Python
26,codec_compare,Python
27,concurrency-limits,Java
28,conductor,Java
29,conductor-community,Java
30,.github,
31,aegisthus,Java
32,af_tsa,C
33,aminator,Python
34,archaius,Java
35,asf-rez-fork,Python
36,asgard,Groovy
37,astyanax,Java
38,atlas,Scala
39,atlas-docs,Python
40,aws-autoscaling,Shell
41,awsobjectmapper,Groovy
42,batch_request_api,Ruby
43,batch_request_client,Ruby
44,bbparse,C
45,bettertls,Go
46,blesk,JavaScript
47,bless,Python
48,blitz4j,Java
49,bpftop,C
50,brutal,Python
51,cachemover,C++
52,CassJMeter,Java
53,chaosmonkey,Go
54,Cloud-Prize,
55,clove,Python
56,codec_compare,Python
57,concurrency-limits,Java
58,conductor,Java
59,conductor-community,Java
60,conductor-docs,Python
61,conductor-ui,JavaScript
62,consoleme,Python
63,curator,Java
64,denominator,Java
65,derand,Java
66,dgs,HTML
67,dgs-codegen,Kotlin
68,dgs-examples-java,Java
69,dgs-examples-java-2.7,Java
70,dgs-examples-java.latest,Java
71,dgs-examples-java16,Java
72,dgs-examples-kotlin,Kotlin
73,dgs-examples-kotlin-2.7,Kotlin
74,dgs-examples-webflux,Java
75,dgs-federation-example,Kotlin
76,dgs-framework,Kotlin
77,dgs-intellij-plugin,Kotlin
78,dial-reference,C
79,dispatch,Python
80,dispatch-docker,Shell
81,dyno,Java
82,dyno-queues,Java
83,dynomite,C
84,dynomite-manager,Java
85,e2nest,Python
86,eclipse-jifa,Java
87,eclipse-mat,
88,edda,Scala
89,edda-client,Java
90,element-server,JavaScript
91,ember-batch-request,JavaScript
92,ember-nf-graph,JavaScript
93,ember-nf-graph-examples,JavaScript
94,eslint-config-netflix,Shell
95,eslint-plugin-x-element,JavaScript
96,eureka,Java
97,eureka-ui,JavaScript
98,EVCache,Java
99,fabricator,Java
100,falcor,JavaScript
101,falcor-datasource-chainer,JavaScript
102,falcor-express,JavaScript
103,falcor-express-demo,HTML
104,falcor-hapi,JavaScript
105,falcor-hapi-demo,HTML
106,falcor-http-datasource,JavaScript
107,falcor-json-graph,JavaScript
108,falcor-observable,JavaScript
109,falcor-path-syntax,JavaScript
110,falcor-path-utils,JavaScript
111,falcor-restify,JavaScript
112,falcor-restify-demo,HTML
113,falcor-router,JavaScript
114,falcor-router-demo,JavaScript
115,fast_jsonapi,Ruby
116,Fenzo,Java
117,Fido,C#
118,flamescope,Python
119,frigga,Java
120,genie,Java
121,glisten,Groovy
122,go-env,Go
123,go-expect,Go
124,go-iomux,Go
125,governator,Java
126,gradle-template,Java
127,hal-9001,Go
128,hollow,Java
129,hollow-reference-implementation,Java
130,hubcommander,Python
131,Hystrix,Java
132,iceberg,Java
133,iceberg-python,Python
134,iep,Java
135,iep-shadow,
136,image_compression_comparison,Python
137,inviso,JavaScript
138,karyon,Java
139,lemur,Python
140,lemur-docker,Python
141,libamicontained,Rust
142,Lipstick,JavaScript
143,maestro,Java
144,mantis,Java
145,mantis-api,Java
146,mantis-cli,JavaScript
147,mantis-connectors,Java
148,mantis-control-plane,Java
149,mantis-examples,Java
150,mantis-gradle-plugin,Groovy
151,mantis-helm,Smarty
152,mantis-mql,Clojure
153,mantis-rxcontrol,Java
154,mantis-rxnetty,
155,mantis-source-jobs,Java
156,mantis-ui,TypeScript
157,matchcut,Jupyter Notebook
158,metacat,Java
159,metaflow,Python
160,metaflow-docs,JavaScript
161,metaflow-extensions-template,Python
162,metaflow-nflx-extensions,Python
163,metaflow-service,Python
164,metaflow-tools,HCL
165,metaflow-ui,TypeScript
166,metrics-client-go,Go
167,msl,C++
168,ndbench,HTML
169,nerror,JavaScript
170,netflix-commons,Java
171,netflix-graph,Java
172,netflix.github.com,HTML
173,netflixoss-npm-build-infrastructure,
174,nf-data-explorer,TypeScript
175,nflx-geofeed,
176,nflxprofile,Python
177,NfWebCrypto,C++
178,Nicobar,Java
179,ocelli,Java
180,octodns,
181,octodns-ns1,Python
182,octodns-route53,
183,octodns-ultra,Python
184,OpenVPCal,Python
185,osstracker,Scala
186,p2plab,Go
187,photon,Java
188,PigPen,Clojure
189,pollyjs,JavaScript
190,polynote,HTML
191,Prana,Java
192,Priam,Java
193,probnik,TypeScript
194,pygenie,Python
195,pytheas,JavaScript
196,q,Java
197,Raigad,Java
198,ReactiveLab,Java
199,reactivesocket-examples,Java
200,read_bbrlog,C
201,recipes-rss,Java
202,rend,Go
203,rend-http,Go
204,rend-lmdb,Go
205,repokid,Python
206,restful-jsonapi,Ruby
207,ribbon,Java
208,runtime-health,Java
209,rx-aws-java-sdk,Java
210,s3mper,Java
211,security-bulletins,
212,security_monkey,Python
213,servo,Java
214,sherlock,R
215,signal-wrapper,Go
216,SimianArmy,Java
217,sleepy-puppy-docker,Dockerfile
218,spark,Scala
219,spectator,Java
220,spectator-cpp,C++
221,spectator-go,Go
222,spectator-go-runtime-metrics,Go
223,spectator-js,TypeScript
224,spectator-py,Python
225,spectator-py-runtime-metrics,Python
226,spectator-rb,Ruby
227,staash,Java
228,sureal,Python
229,suro,Java
230,Surus,Java
231,taskintrospection,C
232,tcplog_dumper,C
233,techreports,
234,titus,
235,titus-api-definitions,Makefile
236,titus-control-plane,Java
237,titus-executor,Go
238,titus-kube-common,Go
239,tslint-config-netflix,JavaScript
